,Senior Advisor,Tree Size,Tree Depth
3129,~Alain_Oliviero_Durmus1,10,1
3250,~Katerina_Fragkiadaki1,10,1
3317,~Ya-Qin_Zhang1,10,1
3468,~Tao_Chen6,10,1
3488,~Mert_Pilanci3,10,1
3505,~Yu-Xiang_Wang1,10,1
3786,~Mingkui_Tan2,10,1
3813,~Wojciech_Matusik2,10,1
3839,~Phillip_Isola1,10,1
4012,~Bernd_Bischl1,10,1
4295,~Jiantao_Jiao1,10,1
4478,~Hyun_Oh_Song1,10,1
4909,~Marc_Peter_Deisenroth1,10,1
4927,~Roger_Baker_Grosse1,10,1
4966,~Lihua_Zhang1,10,1
4980,~Jingbo_Shang2,10,1
5103,~Yangqiu_Song1,10,1
5733,~Kris_M._Kitani1,10,1
5834,~John_P_Dickerson1,10,1
6033,~Mingsheng_Long5,10,1
6262,~Armando_Solar-Lezama1,10,1
7699,~Thomas_Lukasiewicz2,10,1
8731,~jae-joon_kim1,10,1
9049,~Yingyan_Celine_Lin1,10,1
14338,Marilyn Wolf,9,4
368,~Kevin_Knight1,9,3
774,Neil Lawrence,9,3
3495,~Benjamin_Kuipers1,9,3
4330,Pravin Varaiya,9,3
4604,~Andrew_Moore1,9,3
5086,~Zongben_Xu1,9,3
6429,~Akihiro_Sugimoto2,9,3
7923,~Don_H._Johnson1,9,3
8188,Mischa Schwartz,9,3
13546,Hugh Durrant-Whyte,9,3
14963,~Ayan_Das1,9,3
15372,Scott Shenker,9,3
19127,Alexander Immer,9,3
19128,~Hugo_Yèche1,9,3
19129,Tanmay Tanna,9,3
